Date,Amount Invested,Shares Bought,Taxes,Shares to Taxes,Fees,Shares to Fees,Dividends,Shares from Dividends,Cumulative Shares,Current Portfolio Value,Dividend Yield (Monthly),Tax Rate,Management Fee (Monthly),S&P 500 Index Value
1996.01,100000,162.7551186484815,0,0,0,0,0,0,162.7551186484815,100000,0,0.15,0,614.42
1996.02,0,0.24842316406086373,28.475432114840014,0.043839381893093596,29.906279875619486,0.04604224508978583,161.36078198409342,0.24842316406086373,162.95749956745257,105847.41426904313,0.0017957195348503045,0.15,0.00028289276228066207,649.54
1996.03,0,0.2515242596519592,28.721259298763517,0.0443866340562281,29.829601644783324,0.04609949718698645,162.75380269299325,0.2515242596519592,163.16292432991756,105577.83344615977,0.0018158777257483733,0.15,0.00028289276228066207,647.07
1996.04,0,0.25281498488703935,28.8731071357668,0.04461440909771282,29.87182070022835,0.04615761036548102,163.61427376934523,0.25281498488703935,163.36958170443913,105727.89219166186,0.001822898156589459,0.15,0.00028289276228066207,647.17
1996.05,0,0.24874321898756216,29.025260945496306,0.04389586217427568,30.5594534479198,0.046216072241005095,164.47647869114573,0.24874321898756216,163.57210885118567,108158.7855356695,0.001791270309372936,0.15,0.00028289276228066207,661.23
1996.06,0,0.24732584072680838,29.177174916330245,0.04364573659884853,30.02530130689097,0.04491443725787729,165.3373245258714,0.24732584072680838,163.7745202546546,109483.2667902366,0.0017788581401146847,0.15,0.0002745849373302356,668.50
1996.07,0,0.2593662345082796,29.479413645837823,0.045770511972049344,28.963838450133075,0.04497001638041373,167.05001065974767,0.2593662345082796,163.98891647278248,105620.34143262502,0.0018631515207974286,0.15,0.0002745849373302356,644.07
1996.08,0,0.25469119244294636,29.784486954369115,0.04494550454875523,29.839742408096047,0.045028886352532216,168.77875940809167,0.25469119244294636,164.1985787788729,108811.11418518348,0.001827176515563067,0.15,0.0002745849373302356,662.68
1996.09,0,0.2526471977936245,30.089389561228458,0.04458479961063961,30.427947738228987,0.04508645646371057,170.5065408469613,0.2526471977936245,164.40613952020283,110954.41543939448,0.0018101983562509878,0.15,0.0002745849373302356,674.88
1996.1,0,0.2447091924995273,30.29183120659737,0.043183975146975404,31.66632409809722,0.04514344951686086,171.65371017071843,0.2447091924995273,164.60570526318548,115464.31801391409,0.0017511095904732034,0.15,0.0002745849373302356,701.46
1996.11,0,0.2348809100548194,30.493206900005113,0.041449572362615185,33.2509945646267,0.04519824726389102,172.79483910002898,0.2348809100548194,164.7953879259764,121235.02303550305,0.0016787418271779469,0.15,0.0002745849373302356,735.67
1996.12,0,0.2340098203927,30.693141001213103,0.041295850657535285,33.632308713429296,0.045250331265966094,173.92779900687427,0.2340098203927,164.98414741510314,122624.4675662754,0.0016705908734163024,0.15,0.0002745849373302356,743.25
1997.01,0,0.22806752997517274,30.83821814427827,0.040247211172089306,34.71142239789043,0.045302161778458444,174.74990281757687,0.22806752997517274,165.16691278329984,126554.19191282001,0.0016263061957836305,0.15,0.0002745849373302356,766.22
1997.02,0,0.21990284234056184,30.982628875814324,0.03880638394245209,36.20885983880773,0.04535234639563087,175.56823029628117,0.21990284234056184,165.34146327924478,132006.97086751624,0.0015663501964369962,0.15,0.0002745849373302356,798.39
1997.03,0,0.22265452175461317,31.12553046231783,0.03929197442728468,34.87604958132748,0.04402652189119304,176.37800595313436,0.22265452175461317,165.5200912791082,131118.39550765834,0.0015842759038578067,0.15,0.000266276353299455,792.16
1997.04,0,0.23164292263334765,31.22805492128704,0.040878162817649576,33.669516749904446,0.04407408630359385,176.95897788729326,0.23164292263334765,165.70766011543793,126589.0527919865,0.0016464532090636576,0.15,0.000266276353299455,763.93
1997.05,0,0.21312408752635426,31.332625778352433,0.03761013309288604,36.75928936011763,0.04412403144932436,177.55154607733047,0.21312408752635426,165.87666017151497,138190.18682228742,0.0015131118286539668,0.15,0.000266276353299455,833.09
